Name	Description	id	value	bySkillCategory	group	infinity	isBuff	isHideOnRefresh	isShow	kind	level	notCareDeath	priority	property	time	isHideOnRaid	useDamageFont	isBlockOtherSpecialShader	type	method	tickInterval	appearEffectId	disappearEffectId	effectPart	effectId	effectPart	overlayEffectId	appearEffectId	disappearEffectId	damageEffectId	ShaderOnAlly	ShaderOnMy	ShaderOnOther	appearShader	disappearShader	effectTime	attackEffectId	isEnemyCheck	arcaneFxId
Clear Conscience	Decreases Power and Attack to $H_W_BAD$value$COLOR_END.	1	0.1	0		FALSE	FALSE	FALSE	TRUE	48001	1	FALSE	8	1	100000				3	3	0																		Decreases Power and Attack to $H_W_BAD$value$COLOR_END.
Promo BAM Buff	Increases your awesomeness when beating down Big-Ass Monsters.	2	100	0	etc	FALSE	TRUE	FALSE	TRUE	48001	1	FALSE	8	4	180000000				4	3	0																		
Promo BAM Buff	Increases your awesomeness when beating down Big-Ass Monsters.	2	100	0	etc	FALSE	TRUE	FALSE	TRUE	48001	1	FALSE	8	4	180000000				3	3	0																		
TEST_NoNaturalMPRegeneration	No natural MP regeneration! For 30 minutes! BTS needed if this message is displayed.	3	0	0	etc	FALSE	TRUE	FALSE	TRUE	48002	1	FALSE	1	4	1800000				21	1	0	65071		FXCenter01															
Stun Bomb	Stun effect	4	4	0	etc	FALSE	TRUE	FALSE	TRUE	48003	1	FALSE	1	4	3600000				211	0	0			FXHead01	2012		1001												
Stun Bomb	Stun effect	4	5	0	etc	FALSE	TRUE	FALSE	TRUE	48003	1	FALSE	1	4	3600000				211	0	0			FXHead01	2012		1001												
Non-Effect Debuff	Non-effect debuff	5	0	0		FALSE	TRUE	FALSE	TRUE	48001	1	FALSE	1	1	100000				241	1	0	65071		FXCenter03															
Damage Absolute Invincibility	Damage absolute invincibility	6	0	0		FALSE	TRUE	FALSE	TRUE	48002	1	FALSE	1	1	100000				245	1	0	65071		FXCenter03															
Damage Half Invincibility	Damage half invincibility	7	0	0		FALSE	TRUE	FALSE	TRUE	48003	1	FALSE	1	1	100000				245	2	0	65071		FXCenter03															
Damage Half Invincibility	Damage half invincibility	7	5	0		FALSE	TRUE	FALSE	TRUE	48003	1	FALSE	1	1	100000				211	1	0	65071		FXCenter03															
Debuff Absolute Invincibility	Debuff absolute invincibility	8	0	0		FALSE	TRUE	FALSE	TRUE	48004	1	FALSE	1	1	100000				245	4	0	65071		FXCenter03															
Debuff Half Invincibility	Debuff half invincibility	9	0	0		FALSE	TRUE	FALSE	TRUE	48005	1	FALSE	1	1	100000				245	8	0	65071		FXCenter03															
Reaction Absolute Invincibility	Reaction absolute invincibility	10	0	0		FALSE	TRUE	FALSE	TRUE	48006	1	FALSE	1	1	100000				245	16	0	65071		FXCenter03															
Reaction Absolute Invincibility	Reaction absolute invincibility	10	0	0		FALSE	TRUE	FALSE	TRUE	48006	1	FALSE	1	1	100000				287	0	0																		
Stone	Stone	11	6	0		FALSE	TRUE	FALSE	TRUE	48007	1	FALSE	1	1	60000				246	1	0	65071		FXCenter03															
Stone	Stone	11	0	0		FALSE	TRUE	FALSE	TRUE	48007	1	FALSE	1	1	60000				245	26	0	65071		FXCenter03															
Stone	Stone	11	0	0		FALSE	TRUE	FALSE	TRUE	48007	1	FALSE	1	1	60000				287	0	0																		
Vortex	Vortex	12	0	0		FALSE	TRUE	FALSE	TRUE	48007	1	FALSE	1	1	10000				245	21	0	65071		FXCenter03															
Vortex	Vortex	12	0	0		FALSE	TRUE	FALSE	TRUE	48007	1	FALSE	1	1	10000				287	0	0																		
Vortex	Vortex	12	5	0		FALSE	TRUE	FALSE	TRUE	48007	1	FALSE	1	1	10000				246	1	0	65071		FXCenter03															
Vortex	Vortex	12	100	0		FALSE	TRUE	FALSE	TRUE	48007	1	FALSE	1	1	10000				247	3	0	65071		FXCenter03															
Unchained Goddess	Unchained goddess	13	0	0		FALSE	TRUE	FALSE	TRUE	48007	1	FALSE	1	1	60000				245	20	0	65071		FXCenter03															
Unchained Goddess	Unchained goddess	13	0	0		FALSE	TRUE	FALSE	TRUE	48007	1	FALSE	1	1	60000				287	0	0																		
Blessing of Zenobia	Increases non-combat Movement Speed by $H_W_GOOD$value$COLOR_END.	15	10	0	skill	FALSE	TRUE	FALSE	TRUE	1	1	FALSE	2	4	600000				27	2	0			FXCenter02	1082														
Chasing and Hunting_Reaction_Resistance Test	Increases the chance of reaction resistance 10 times.	21	10	0	etc	FALSE	TRUE	FALSE	TRUE	6448	1	FALSE	1	4	900000				103	3	0																		
Test_Increased Skill Damage	Test only: Increases all skill damage by 40%!	22	1.4	0	etc	FALSE	TRUE	FALSE	TRUE	48001	99	TRUE	7	4	1200000				22	3	0																		
Automatic Critical Hits	All your attacks are critical hits.$BRTest Only	23	1	0	etc	FALSE	TRUE	FALSE	TRUE	48008	1	FALSE	1	4	60000				167	2	0																		
Grant Automatic Critical Hits	Grant automatic critical hits to enemy.$BRTest Only	24	23	0	etc	FALSE	TRUE	FALSE	TRUE	48009	1	FALSE	1	4	60000				161	4	0																		
