id	class	skill	name	tooltip	passivityLink	level	grade	parentId	recommendationPriority	takePoint	recommendationMargin	showCrestRemainedInfoIfGreaterThan
21000	warrior	Evasive Roll	Swift Evasive Roll	$prob chance to increase Attack Speed by 15% for 10 seconds.	21000	20	0	0	500	4	0	6
21001	warrior	Retaliate	Energetic Retaliate	Decreases cooldown by $value.	21001	20	0	0	400	4	0	6
21002	warrior	Death From Above	Energetic Death From Above	Decreases cooldown by $value.	21002	26	0	0	400	3	0	6
21003	warrior	Mangle	Test	No Effect	21003		0	0		1000	0	6
21004	warrior	Combo Attack	Threatening Combo Attack	Increases aggro by $value.	21004	25	0	0	400	5	0	6
21005	warrior	Torrent of Blows	Threatening Torrent of Blows	Increases aggro by $value.	21005	20	0	0	400	3	0	6
21006	warrior	Rain of Blows	Empowered Rain of Blows	Increases skill damage by $value.	21006	20	0	0	400	5	0	6
21007	warrior	Leaping Strike	Empowered Leaping Strike	Increases skill damage by $value.	21007	24	0	0	400	5	0	6
21008	warrior	Poison Blade	Virulent Poison Blade	Increases poison damage by $value.	21008	22	0	0	400	6	0	6
21009	warrior	Defensive Stance	Grounded Defensive Stance	Increases Endurance by $value.	21009	20	0	0	400	6	0	6
21010	warrior	Retaliate	Empowered Retaliate	Increases skill damage by $value.	21010	20	0	0	400	3	0	6
21011	warrior	Torrent of Blows	Influential Torrent of Blows	Reduces MP cost of Rain of Blows by 88 for a few seconds.	21011	20	0	0	400	3	0	6
21012	warrior	Retaliate	Influential Retaliate	Reduces MP cost of Leaping Strike by 75 for a few seconds.	21012	20	0	0	400	2	0	6
21013	warrior	Combo Attack	Spirited Combo Attack	Increases MP replenishment by $value.	21013	25	0	0	400	3	0	6
21014	warrior	Death From Above	Swift Death From Above	$prob chance to increase Attack Speed by 15% for 10 seconds.	21014	26	0	0	400	3	0	6
21015	warrior	Evasive Roll	Affirmative Evasive Roll	Reduces RE cost by 100.	21015	20	0	0	500	4	0	6
21016	warrior	Battle Cry	Energetic Battle Cry	Decreases cooldown by $value.	21016	20	0	0	400	4	0	6
21017	warrior	Rain of Blows	Restorative Rain of Blows	Recovers $value of total HP per successful hit.	21017	25	0	0	400	5	0	6
21018	warrior	Combative Strike	Sanative Combative Strike	Decreases HP consumption by $value.	21018	20	0	0	400	3	0	6
21019	warrior	Vortex Slash	Empowered Vortex Slash	Increases skill damage by $value.	21019	20	0	0	400	5	0	6
21020	warrior	Charging Slash	Energetic Charging Slash	Decreases cooldown by $value.	21020	30	0	0	400	3	0	6
21021	warrior	Assault Stance	Test	No Effect	21021		0	0		1000	0	6
21022	warrior	Rising Fury	Persistent Rising Fury	$prob chance to eliminate cooldown.	21022	20	0	0	400	5	0	6
21023	warrior	Smoke Aggressor	Energetic Smoke Aggressor	Decreases cooldown by $value.	21023	20	0	0	400	4	0	6
21024	warrior	Backstab	Lingering Backstab	Increases effect duration by $value.	21024	42	0	0	400	3	0	6
21025	warrior	Deadly Gamble	Energetic Deadly Gamble	Decreases cooldown by $value.	21025	48	0	0	400	4	0	6
21026	warrior	Staggering Counter	Empowered Staggering Counter	Increases skill damage by $value.	21026	54	0	0	400	3	0	6
21027	warrior	Cascade of Stuns	Brilliant Cascade of Stuns	Reduces MP cost by $value.	21027	58	0	0	400	4	0	6
21028	warrior	Combative Strike	Powerlinked Combative Strike	Increases skill damage of Rising Fury by 20% for a few seconds.	21028	20	0	0	400	5	0	6
21029	warrior	Charging Slash	Influential Charging Slash	Reduces MP cost of Poison Blade by 50 for a few seconds.	21029	30	0	0	400	3	0	6
21030	warrior	Cascade of Stuns	Influential Cascade of Stuns	Reduces MP cost of Rain of Blows by 88 for a few seconds.	21030	58	0	0	400	3	0	6
21031	warrior	Cascade of Stuns	Powerlinked Cascade of Stuns	Increases skill damage of Rain of Blows by 20% for a few seconds.	21031	58	0	0	400	3	0	6
21032	warrior	Cascade of Stuns	Energetic Cascade of Stuns	Decreases cooldown by $value.	21032	58	0	0	400	4	0	6
21033	warrior	Rising Fury	Numbing Rising Fury	$prob chance to decrease an opponent's Attack Speed by 15% for 7 seconds.	21033	20	0	0	400	4	0	6
21034	warrior	Torrent of Blows	Binding Torrent of Blows	$prob chance to immobilize target for 4 seconds.	21034	20	0	0	400	6	0	6
21035	warrior	Charging Slash	Powerlinked Charging Slash	Increases skill damage of Combative Strike by 20% for a few seconds.	21035	30	0	0	500	4	0	6
21036	warrior	Backstab	Energetic Backstab	Decreases cooldown by $value.	21036	42	0	0	400	5	0	6
21037	warrior	Staggering Counter	Lingering Staggering Counter	Increases effect duration by $value.	21037	54	0	0	400	5	0	6
21038	warrior	Staggering Counter	Energetic Staggering Counter	Decreases cooldown by $value.	21038	54	0	0	400	4	0	6
21039	warrior	Combo Attack	Sapping Combo Attack	$prob chance to stun target for 2 seconds.	21039	20	0	0	400	5	0	6
21040	warrior	Battle Cry	Hastened Battle Cry	Speeds casting by $value.	21040	20	0	0	400	3	0	6
21041	warrior	Battle Cry	Lucky Battle Cry	Increases chance of effect by $value.	21041	20	0	0	400	2	0	6
21042	warrior	Battle Cry	Threatening Battle Cry	Increases aggro by $value.	21042	20	0	0	400	3	0	6
21043	warrior	Combative Strike	Lingering Combative Strike	Increases effect duration by $value.	21043	20	0	0	400	2	0	6
21044	warrior	Combative Strike	Powerlinked Combative Strike	Increases skill damage of Leaping Strike by 35% for a few seconds.	21044	20	0	0	400	3	0	6
21045	warrior	Vortex Slash	Persistent Vortex Slash	$prob chance to eliminate cooldown.	21045	20	0	0	400	4	0	6
21046	warrior	Evasive Roll	Mending Evasive Roll	Recovers 3% of total HP when you follow up with Poison Blade.	21046	20	0	0	400	4	0	6
21047	warrior	Death From Above	Test	No Effect	21047		0	0		1000	0	6
21048	warrior	Pounce	Hastened Pounce	Speeds casting by $value.	21048	22	0	0	400	3	0	6
21049	warrior	Pounce	Energetic Pounce	Decreases cooldown by $value.	21049	22	0	0	400	2	0	6
21050	warrior	Traverse Cut	Lingering Traverse Cut	Increases effect duration by $value.	21050	28	0	0	500	2	0	6
21051	warrior	Traverse Cut	Brilliant Traverse Cut	Reduces MP cost by $value.	21051	28	0	0	400	2	0	6
21052	warrior	Blade Draw	Empowered Blade Draw	Increases skill damage by $value.	21052	28	0	0	500	4	0	6
21053	warrior	Blade Draw	Brilliant Blade Draw	Reduces MP cost by $value.	21053	28	0	0	400	2	0	6
21054	warrior	Blade Draw	Persistent Blade Draw	$prob chance to eliminate cooldown.	21054	28	0	0	500	5	0	6
21064	warrior	Rain of Blows	Empowered Rain of Blows	Increases skill damage by $value.	21064		1	21006	500	4	0	6
21065	warrior	Death From Above	Energetic Death From Above	Decreases cooldown by $value.	21065		1	21002	400	2	0	6
21066	warrior	Rain of Blows	Restorative Rain of Blows	Recovers $value of total HP per successful hit.	21066		1	21017	400	4	0	6
21067	warrior	Evasive Roll	Affirmative Evasive Roll	Reduces RE cost by 100.	21067		1	21015	400	3	0	6
21068	warrior	Defensive Stance	Grounded Defensive Stance	Increases Endurance by $value.	21068		1	21009	400	5	0	6
21069	warrior	Combative Strike	Sanative Combative Strike	Decreases HP consumption by $value.	21069		1	21018	500	2	0	6
21070	warrior	Combo Attack	Spirited Combo Attack	Increases MP replenishment by $value.	21070		1	21013	400	2	0	6
21071	warrior	Smoke Aggressor	Energetic Smoke Aggressor	Decreases cooldown by $value.	21071		1	21023	400	4	0	6
21072	warrior	Combative Strike	Powerlinked Combative Strike	Increases skill damage of Leaping Strike by 45% for a few seconds.	21072		1	21044	400	2	0	6
21073	warrior	Charging Slash	Powerlinked Charging Slash	Increases skill damage of Combative Strike by 50% for a few seconds.	21073		1	21035	600	4	0	6
21074	warrior	Death From Above	Grounded Death From Above	Increases Endurance by 25 for 8 seconds.	21074		1	0	400	5	0	6
21075	warrior	Backstab	Advantageous Backstab	Increases Edge generation by $value.	21075		1	0	400	2	0	6
21076	warrior	Cascade of Stuns	Empowered Cascade of Stuns	Increases skill damage by $value.	21076		1	0	400	4	0	6
21077	warrior	Cascade of Stuns	Lingering Cascade of Stuns	Increases effect duration by $value.	21077		1	0	400	3	0	6
21078	warrior	Staggering Counter	Powerlinked Staggering Counter	Increases skill damage of Cascade of Stuns by 10% for a few seconds.	21078		1	0	400	4	0	6
21079	warrior	Scythe	Carving Scythe	Doubles the chance to crit.	21079	60	0	0	500	5	0	6
21080	warrior	Scythe	Empowered Scythe	Increases Edge damage by 25%.	21080		1	0	500	4	0	6
21081	warrior	Backstab	Lingering Backstab	Increases effect duration by $value.	21081		1	21024	400	2	0	6
21082	warrior	Pounce	Hastened Pounce	Speeds casting by $value.	21082		1	21048	600	2	0	6
21083	warrior	Poison Blade	Cumulative Poison Blade	Poison Blade's damage stacks up to 2 times.	21083		1	0	400	3	0	6
21084	warrior	Blade Draw	Advantageous Blade Draw	Increases Edge generation by $value per hit.	21084		1	0	500	3	0	6
21085	warrior	Reaping Slash	Empowered Reaping Slash	Increases skill damage by $value.	21085	60	0	0	400	5	0	6
21086	warrior	Cross Parry	Pumped Cross Parry	$prob chance to increase Power by 15% for 10 seconds on a successful block.	21086	60	0	0	400	4	0	6
21087	warrior	Smoke Flanker	Threatening Smoke Flanker	Increases aggro by $value.	21087	60	0	0	400	6	0	6
21088	warrior	Binding Sword	Empowered Binding Sword	Increases skill damage by $value.	21088	61	0	0	500	5	0	6
21089	warrior	Binding Sword	Empowered Binding Sword	Increases skill damage by $value.	21089		1	21088	600	4	0	6
21090	warrior	Binding Sword	Energetic Binding Sword	Decreases cooldown by $value.	21090	61	0	0	400	5	0	6
21091	warrior	Deadly Gamble	Lingering Deadly Gamble	Increases effect duration by $value.	21091		1	0	500	4	0	6
21092	warrior	Binding Sword	Energetic Binding Sword	Decreases cooldown by $value.	21092		1	21090	400	4	0	6
21093	warrior	Infuriate	Slowing Infuriate	Decreases opponent's Movement Speed by 50% for 5 seconds.	21093	65	0	0	400	4	0	6
21094	warrior	Infuriate	Energetic Infuriate	Decreases cooldown by $value.	21094	65	0	0	400	6	0	6
21095	warrior	Evasive Roll	Swift Evasive Roll	$prob chance to increase attack speed by 15% for 10 seconds.	21095		1	21000	500	3	0	6
21096	warrior	Torrent of Blows	Threatening Torrent of Blows	Increases aggro by $value.	21096		1	21005	400	3	0	6
21097	warrior	Vortex Slash	Empowered Vortex Slash	Increases skill damage by $value.	21097		1	21019	400	4	0	6
21098	warrior	Cascade of Stuns	Powerlinked Cascade of Stuns	Increases skill damage of Rain of Blows by 20% for a few seconds.	21098		1	21031	400	2	0	6
21099	warrior	Rising Fury	Numbing Rising Fury	$prob chance to decrease an opponent's Attack Speed by 15% for 7 seconds.	21099		1	21033	400	4	0	6
21100	warrior	Backstab	Energetic Backstab	Decreases cooldown by $value.	21100		1	21036	400	4	0	6
21101	warrior	Evasive Roll	Affirmative Evasive Roll	Reduces RE cost by 120.	21101		2	21015	400	3	0	6
21102	warrior	Defensive Stance	Grounded Defensive Stance	Increases Endurance by $value.	21102		2	21009	400	4	0	6
21103	warrior	Charging Slash	Powerlinked Charging Slash	Increases skill damage of Combative Strike by 50% for a few seconds.	21103		2	21035	600	3	0	6
21104	warrior	Scythe	Carving Scythe	Doubles the chance to crit.	21104		1	21079	500	4	0	6
21105	warrior	Scythe	Empowered Scythe	Increases Edge damage by 30%.	21105		2	21080	500	4	0	6
21106	warrior	Deadly Gamble	Lingering Deadly Gamble	Increases effect duration by $value.	21106		2	21091	500	3	0	6
21107	warrior	Blade Draw	Carving Blade Draw	Doubles the chance to crit when attacking monsters.	21107	65	0	0	500	4	0	6
22000	lancer	Stand Fast	Pumped Stand Fast	$prob chance to increase Power by 15% for 10 seconds on a successful block.	22000	20	0	0	500	4	0	6
22001	lancer	Stand Fast	Powerlinked Stand Fast	Increases skill damage of Shield Counter by 25% for a few seconds.	22001	26	0	0	500	3	0	6
22002	lancer	Stand Fast	Influential Stand Fast	Reduces MP cost of Shield Counter by 115 for a few seconds.	22002	26	0	0	435	2	0	6
22003	lancer	Combo Attack	Threatening Combo Attack	Increases aggro by $value.	22003	20	0	0	500	4	0	6
22004	lancer	Challenging Shout	Threatening Challenging Shout	Increases aggro by $value.	22004	20	0	0	500	3	0	6
22005	lancer	Challenging Shout	Brilliant Challenging Shout	Reduces MP cost by $value.	22005	20	0	0	205	6	0	6
22006	lancer	Infuriate	Slowing Infuriate	Decreases opponent's Movement Speed by 50% for 5 seconds.	22006	50	0	0	170	4	0	6
22007	lancer	Onslaught	Empowered Onslaught	Increases skill damage by $value.	22007	32	0	0	325	5	0	6
22008	lancer	Shield Counter	Test	No Effect	22008		0	0		1000	0	6
22009	lancer	Shield Bash	Lingering Shield Bash	Increases effect duration by $value.	22009	22	0	0	340	5	0	6
22010	lancer	Guardian Shout	Brilliant Guardian Shout	Reduces MP cost by $value.	22010	22	0	0	165	3	0	6
22012	lancer	Retaliate	Empowered Retaliate	Increases skill damage by $value.	22012	20	0	0	225	3	0	6
22013	lancer	Shield Barrage	Brilliant Shield Barrage	Reduces MP cost by $value.	22013	20	0	0	275	4	0	6
22015	lancer	Combo Attack	Spirited Combo Attack	Increases MP replenishment by $value.	22015	20	0	0	370	4	0	6
22016	lancer	Debilitate	Impelling Debilitate	$prob chance to eliminate MP cost.	22016	28	0	0	230	4	0	6
22017	lancer	Leash	Energetic Leash	Decreases cooldown by $value.	22017	26	0	0	375	5	0	6
22018	lancer	Infuriate	Energetic Infuriate	Decreases cooldown by $value.	22018	50	0	0	250	6	0	6
22019	lancer	Shield Bash	Energetic Shield Bash	Decreases cooldown by $value.	22019	22	0	0	360	4	0	6
22020	lancer	Charging Lunge	Empowered Charging Lunge	Increases skill damage by $value.	22020	20	0	0	300	4	0	6
22021	lancer	Second Wind	Energetic Second Wind	Decreases cooldown by $value.	22021	20	0	0	310	6	0	6
22022	lancer	Adrenaline Rush	Swift Adrenaline Rush	Increases Attack Speed by an additional $value.	22022	58	0	0	345	3	0	6
22023	lancer	Spring Attack	Brilliant Spring Attack	Reduces MP cost by $value.	22023	20	0	0	315	4	0	6
22024	lancer	Retaliate	Energetic Retaliate	Decreases cooldown by $value.	22024	20	0	0	265	4	0	6
22025	lancer	Menacing Wave	Brilliant Menacing Wave	Reduces MP cost by $value.	22025	32	0	0	160	3	0	6
22026	lancer	Iron Will	Lingering Iron Will	Increases effect duration by $value.	22026	36	0	0	425	4	0	6
22027	lancer	Master's Leash	Persistent Master's Leash	$prob chance to eliminate cooldown.	22027	42	0	0	320	3	0	6
22028	lancer	Lockdown Blow	Empowered Lockdown Blow	Increases skill damage by $value.	22028	46	0	0	500	4	0	6
22029	lancer	Pledge of Protection	Energetic Pledge of Protection	Decreases cooldown by $value.	22029	56	0	0	225	3	0	6
22030	lancer	Spring Attack	Empowered Spring Attack	Increases skill damage by $value.	22030	20	0	0	500	5	0	6
22031	lancer	Challenging Shout	Test	No Effect	22031		0	0		1000	0	6
22032	lancer	Onslaught	Brilliant Onslaught	Reduces MP cost by $value.	22032	32	0	0	200	3	0	6
22033	lancer	Shield Counter	Threatening Shield Counter	Increases aggro by $value.	22033	26	0	0	500	3	0	6
22034	lancer	Debilitate	Lingering Debilitate	Increases effect duration by $value.	22034	28	0	0	500	6	0	6
22035	lancer	Shield Bash	Blazing Shield Bash	Speeds casting of Onslaught by 25% for a few seconds.	22035	22	0	0	285	4	0	6
22036	lancer	Pledge of Protection	Restorative Pledge of Protection	Increases amount of caster's HP recovery by 20% for 20 seconds.	22036	56	0	0	175	5	0	6
22037	lancer	Guardian Shout	Energetic Guardian Shout	Decreases cooldown by $value.	22037	22	0	0	180	5	0	6
22038	lancer	Menacing Wave	Lingering Menacing Wave	Increases effect duration by $value.	22038	32	0	0	240	3	0	6
22039	lancer	Charging Lunge	Energetic Charging Lunge	Decreases cooldown by $value.	22039	20	0	0	405	4	0	6
22040	lancer	Charging Lunge	Fleetfooted Charging Lunge	Increases Combat Movement Speed by 10 for 7 seconds.	22040	20	0	0	270	5	0	6
22041	lancer	Iron Will	Warding Iron Will	Increases damage absorption by $value.	22041	36	0	0	440	5	0	6
22042	lancer	Lockdown Blow	Slowing Lockdown Blow	Decreases opponent's Movement Speed by an additional $value.	22042	46	0	0	215	5	0	6
22043	lancer	Leash	Longshot Leash	Increases range by 3 meters.	22043	26	0	0	335	4	0	6
22044	lancer	Leash	Slowing Leash	Decreases opponent's Movement Speed by 50% for 4 seconds.	22044	26	0	0	245	4	0	6
22045	lancer	Shield Bash	Lingering Shield Bash	Increases effect duration by $value.	22045		1	22009	355	4	0	6
22046	lancer	Shield Bash	Energetic Shield Bash	Decreases cooldown by $value.	22046		1	22019	420	3	0	6
22047	lancer	Leash	Energetic Leash	Decreases cooldown by $value.	22047		1	22017	395	4	0	6
22048	lancer	Combo Attack	Threatening Combo Attack	Increases aggro by $value.	22048		1	22003	450	3	0	6
22049	lancer	Challenging Shout	Brilliant Challenging Shout	Reduces MP cost by $value.	22049		1	22005	195	4	0	6
22050	lancer	Lockdown Blow	Slowing Lockdown Blow	Decreases opponent's Movement Speed by an additional $value.	22050		1	22042	255	4	0	6
22051	lancer	Onslaught	Brilliant Onslaught	Reduces MP cost by $value.	22051		1	22032	210	3	0	6
22052	lancer	Guardian Shout	Energetic Guardian Shout	Decreases cooldown by $value.	22052		1	22037	195	5	0	6
22053	lancer	Infuriate	Slowing Infuriate	Decreases opponent's speed by 50% for 5 seconds.	22053		1	22006	185	3	0	6
22054	lancer	Leash	Numbing Leash	Decreases opponent's Attack Speed by 40% for 4 seconds.	22054		1	0	280	4	0	6
22055	lancer	Leash	Threatening Leash	Increases aggro by $value.	22055		1	0	350	5	0	6
22056	lancer	Challenging Shout	Hastened Challenging Shout	Speeds casting by $value.	22056		1	0	500	3	0	6
22057	lancer	Challenging Shout	Grounded Challenging Shout	Increases Endurance by 21 upon successful hit.	22057		1	0	430	5	0	6
22058	lancer	Onslaught	Carving Onslaught	Doubles the chance to crit.	22058		1	0	260	4	0	6
22059	lancer	Lockdown Blow	Threatening Lockdown Blow	Increases aggro by $value.	22059		1	0	500	3	0	6
22060	lancer	Chained Leash	Energetic Chained Leash	Decreases cooldown by $value.	22060	60	0	0	385	4	0	6
22061	lancer	Chained Leash	Lingering Chained Leash	Increases effect duration by $value.	22061		1	0	305	4	0	6
22062	lancer	Combo Attack	Spirited Combo Attack	Increases MP replenishment by $value.	22062		1	22015	290	3	0	6
22063	lancer	Shield Counter	Threatening Shield Counter	Increases aggro by $value.	22063		1	22033	415	2	0	6
