id	step	passivityCategoryId	kind	rate	enchantStep	id2	passivityLink	unchangeable
1000	3	10						
1000	6	10						
1000	9	10						
1000			attack	1,03				
1000			impact	1,07				
1001	3	11						
1001	6	11						
1001	9	11						
1001			attack	1,03				
1001			impact	1,07				
1002	3	12						
1002	6	12						
1002	9	12						
1002			attack	1,03				
1002			impact	1,07				
2000	3	20						
2000	6	20						
2000	9	20						
2000			defence	1,045				
2000			balance	1,07				
3000	3	100						
3000	6	100						
3000	9	150						
3000			defence	1,045				
3000			balance	1,07				
3001	3	100						
3001	6	100						
3001	9	151						
3001			defence	1,045				
3001			balance	1,07				
3002	3	100						
3002	6	100						
3002	9	152						
3002			defence	1,045				
3002			balance	1,07				
4000	3	200						
4000	6	200						
4000	9	250						
4000			defence	1,045				
4000			balance	1,07				
11000	3	310						
11000	6	310						
11000	9	310						
11000	10	50						
11000	11	50						
11000	12	50						
11000			attack	1,03				
11000			impact	1,07				
11001	3	311						
11001	6	311						
11001	9	311						
11001	10	50						
11001	11	50						
11001	12	50						
11001			attack	1,03				
11001			impact	1,07				
11002	3	312						
11002	6	312						
11002	9	312						
11002	10	50						
11002	11	50						
11002	12	50						
11002			attack	1,03				
11002			impact	1,07				
12000	3	320						
12000	6	320						
12000	9	320						
12000	10	60						
12000	11	60						
12000	12	60						
12000			defence	1,045				
12000			balance	1,07				
13000	3	3100						
13000	6	3100						
13000	9	3150						
13000	10	60						
13000	11	60						
13000	12	60						
13000			defence	1,045				
13000			balance	1,07				
13001	3	3100						
13001	6	3100						
13001	9	3151						
13001	10	60						
13001	11	60						
13001	12	60						
13001			defence	1,045				
13001			balance	1,07				
13002	3	3100						
13002	6	3100						
13002	9	3152						
13002	10	60						
13002	11	60						
13002	12	60						
13002			defence	1,045				
13002			balance	1,07				
14000	3	3200						
14000	6	3200						
14000	9	3250						
14000	10	60						
14000	11	60						
14000	12	60						
14000			defence	1,045				
14000			balance	1,07				
1010	1	910						
1010	3	910						
1010	5	910						
1010	7	910						
1010	9	910						
1010			attack	1,03				
1010			impact	1,07				
1011	1	911						
1011	3	911						
1011	5	911						
1011	7	911						
1011	9	911						
1011			attack	1,03				
1011			impact	1,07				
1012	1	912						
1012	3	912						
1012	5	912						
1012	7	912						
1012	9	912						
1012			attack	1,03				
1012			impact	1,07				
2010	1	920						
2010	3	920						
2010	5	920						
2010	7	920						
2010	9	920						
2010			defence	1,045				
2010			balance	1,07				
3010	3	100						
3010	6	100						
3010	9	150						
3010			defence	1,045				
3010			balance	1,07				
3011	3	100						
3011	6	100						
3011	9	151						
3011			defence	1,045				
3011			balance	1,07				
3012	3	100						
3012	6	100						
3012	9	152						
3012			defence	1,045				
3012			balance	1,07				
4010	3	200						
4010	6	200						
4010	9	250						
4010			defence	1,045				
4010			balance	1,07				
11010	1	3910						
11010	3	3910						
11010	5	3910						
11010	7	3910						
11010	9	3910						
11010	10	50						
11010	11	50						
11010	12	50						
11010			attack	1,03				
11010			impact	1,07				
11011	1	3911						
11011	3	3911						
11011	5	3911						
11011	7	3911						
11011	9	3911						
11011	10	50						
11011	11	50						
11011	12	50						
11011			attack	1,03				
11011			impact	1,07				
11012	1	3912						
11012	3	3912						
11012	5	3912						
11012	7	3912						
11012	9	3912						
11012	10	50						
11012	11	50						
11012	12	50						
11012			attack	1,03				
11012			impact	1,07				
12010	1	3920						
12010	3	3920						
12010	5	3920						
12010	7	3920						
12010	9	3920						
12010	10	60						
12010	11	60						
12010	12	60						
12010			defence	1,045				
12010			balance	1,07				
13010	3	3100						
13010	6	3100						
13010	9	3150						
13010	10	60						
13010	11	60						
13010	12	60						
13010			defence	1,045				
13010			balance	1,07				
13011	3	3100						
13011	6	3100						
13011	9	3151						
13011	10	60						
13011	11	60						
13011	12	60						
13011			defence	1,045				
13011			balance	1,07				
13012	3	3100						
13012	6	3100						
13012	9	3152						
13012	10	60						
13012	11	60						
13012	12	60						
13012			defence	1,045				
13012			balance	1,07				
14010	3	3200						
14010	6	3200						
14010	9	3250						
14010	10	60						
14010	11	60						
14010	12	60						
14010			defence	1,045				
14010			balance	1,07				
1020	1	810						
1020	3	810						
1020	5	810						
1020	7	810						
1020	9	810						
1020			attack	1,03				
1020			impact	1,07				
1021	1	811						
1021	3	811						
1021	5	811						
1021	7	811						
1021	9	811						
1021			attack	1,03				
1021			impact	1,07				
1022	1	812						
1022	3	812						
1022	5	812						
1022	7	812						
1022	9	812						
1022			attack	1,03				
1022			impact	1,07				
2020	1	820						
2020	3	820						
2020	5	820						
2020	7	820						
2020	9	820						
2020			defence	1,045				
2020			balance	1,07				
3020	3	100						
3020	6	100						
3020	9	150						
3020			defence	1,045				
3020			balance	1,07				
3021	3	100						
3021	6	100						
3021	9	151						
3021			defence	1,045				
3021			balance	1,07				
3022	3	100						
3022	6	100						
3022	9	152						
3022			defence	1,045				
3022			balance	1,07				
4020	3	200						
4020	6	200						
4020	9	250						
4020			defence	1,045				
4020			balance	1,07				
11020	1	3810						
11020	3	3810						
11020	5	3810						
11020	7	3810						
11020	9	3810						
11020	10	50						
11020	11	50						
11020	12	50						
11020			attack	1,03				
11020			impact	1,07				
11021	1	3811						
11021	3	3811						
11021	5	3811						
11021	7	3811						
11021	9	3811						
11021	10	50						
11021	11	50						
11021	12	50						
11021			attack	1,03				
11021			impact	1,07				
11022	1	3812						
11022	3	3812						
11022	5	3812						
11022	7	3812						
11022	9	3812						
11022	10	50						
11022	11	50						
11022	12	50						
11022			attack	1,03				
11022			impact	1,07				
