equipmentId	balance	countOfSlot	def	impact	maxAtk	minAtk	passivityLinkG	part
10101100	0	2	0	12	38	38	210600	
10101150	0	2	0	13	40	40	210600	
10101200	0	3	0	15	40	40	210700	
10101250	0	3	0	17	42	42	210700	
10101300	0	3	0	19	44	44	210800	
10101350	0	3	0	20	46	46	210800	
10101400	0	4	0	23	46	46	210900	
10101450	0	4	0	25	48	48	210900	
10101500	0	3	0	12	38	38	211000	
10101550	0	3	0	13	40	40	211000	
10102100	0	2	0	13	42	42	210600	
10102150	0	2	0	13	42	42	210600	
10102200	0	3	0	17	44	44	210700	
10102250	0	3	0	17	44	44	210700	
10102300	0	3	0	20	49	49	210800	
10102350	0	3	0	20	49	49	210800	
10102400	0	4	0	25	51	51	210900	
10102450	0	4	0	25	51	51	210900	
10102500	0	3	0	13	42	42	211000	
10102550	0	3	0	13	42	42	211000	
10103100	0	2	0	14	43	43	210600	
10103150	0	2	0	15	45	45	210600	
10103200	0	3	0	18	45	45	210700	
10103250	0	3	0	19	47	47	210700	
10103300	0	3	0	21	50	50	210800	
10103350	0	3	0	23	52	52	210800	
10103400	0	4	0	27	52	52	210900	
10103450	0	4	0	28	54	54	210900	
10103500	0	3	0	14	43	43	211000	
10103550	0	3	0	15	45	45	211000	
10104100	0	2	0	16	47	47	210600	
10104150	0	2	0	17	49	49	210600	
10104200	0	3	0	20	50	50	210700	
10104250	0	3	0	21	52	52	210700	
10104300	0	3	0	24	54	54	210800	
10104350	0	3	0	26	57	57	210800	
10104400	0	4	0	30	57	57	210900	
10104450	0	4	0	32	59	59	210900	
10104500	0	3	0	16	47	47	211000	
10104550	0	3	0	17	49	49	211000	
10105100	0	2	0	18	51	51	210600	
10105150	0	2	0	19	52	52	210600	
10105200	0	3	0	23	54	54	210700	
10105250	0	3	0	24	55	55	210700	
10105300	0	3	0	27	59	59	210800	
10105350	0	3	0	28	60	60	210800	
10105400	0	4	0	34	62	62	210900	
10105450	0	4	0	36	63	63	210900	
10105500	0	3	0	18	51	51	211000	
10105550	0	3	0	19	52	52	211000	
10106100	0	2	0	20	52	52	210600	
10106150	0	2	0	21	54	54	210600	
10106200	0	3	0	25	55	55	210700	
10106250	0	3	0	26	57	57	210700	
10106300	0	3	0	30	60	60	210800	
10106350	0	3	0	31	62	62	210800	
10106400	0	4	0	37	63	63	210900	
10106450	0	4	0	39	65	65	210900	
10106500	0	3	0	20	52	52	211000	
10106550	0	3	0	21	54	54	211000	
10107100	0	2	0	22	57	57	210600	
10107150	0	2	0	23	60	60	210600	
10107200	0	3	0	27	60	60	210700	
10107250	0	3	0	28	63	63	210700	
10107300	0	3	0	33	66	66	210800	
10107350	0	3	0	34	69	69	210800	
10107400	0	4	0	41	69	69	210900	
10107450	0	4	0	43	73	73	210900	
10107500	0	3	0	22	57	57	211000	
10107550	0	3	0	23	60	60	211000	
10108100	0	2	0	24	63	63	210600	
10108150	0	2	0	25	64	64	210600	
10108200	0	3	0	30	66	66	210700	
10108250	0	3	0	31	67	67	210700	
10108300	0	3	0	36	73	73	210800	
10108350	0	3	0	37	74	74	210800	
10108400	0	4	0	44	76	76	210900	
10108450	0	4	0	46	78	78	210900	
10108500	0	3	0	24	63	63	211000	
10108550	0	3	0	25	64	64	211000	
10109100	0	2	0	27	65	65	210600	
10109150	0	2	0	28	68	68	210600	
10109200	0	3	0	33	69	69	210700	
10109250	0	3	0	36	72	72	210700	
10109300	0	3	0	40	75	75	210800	
10109350	0	3	0	43	79	79	210800	
10109400	0	4	0	50	79	79	210900	
10109450	0	4	0	53	82	82	210900	
10109500	0	3	0	27	65	65	211000	
10109550	0	3	0	28	68	68	211000	
10110100	0	2	0	29	71	71	210600	
10110150	0	2	0	30	73	73	210600	
10110200	0	3	0	37	75	75	210700	
10110250	0	3	0	38	77	77	210700	
10110300	0	3	0	44	82	82	210800	
10110350	0	3	0	46	84	84	210800	
10110400	0	4	0	55	86	86	210900	
10110450	0	4	0	57	88	88	210900	
10110500	0	3	0	29	71	71	211000	
10110550	0	3	0	30	73	73	211000	
10111100	0	2	0	32	75	75	210601	
10111150	0	2	0	34	78	78	210601	
10111200	0	3	0	40	79	79	210701	
10111250	0	3	0	43	82	82	210701	
10111300	0	3	0	48	87	87	210801	
10111350	0	3	0	51	90	90	210801	
10111400	0	4	0	60	91	91	210901	
10111450	0	4	0	64	94	94	210901	
10111500	0	3	0	32	75	75	211001	
10111550	0	3	0	34	78	78	211001	
10112100	0	2	0	35	82	82	210601	
10112150	0	2	0	37	84	84	210601	
10112200	0	3	0	44	86	86	210701	
10112250	0	3	0	46	89	89	210701	
10112300	0	3	0	53	95	95	210801	
10112350	0	3	0	56	97	97	210801	
10112400	0	4	0	66	99	99	210901	
10112450	0	4	0	69	102	102	210901	
10112500	0	3	0	35	82	82	211001	
10112550	0	3	0	37	84	84	211001	
10113100	0	2	0	39	86	86	210601	
