id	name	coolTime	category	level	icon	rank	maxStack	rareGrade	requiredEquipmentType	combatItemType	requiredLevel	equipSound	usedSound	artisanable	boundType	buyPrice	changeColorEnable	changeLook	coolTimeGroup	destroyable	dismantlable	dropSilhouette	dropSound	enchantEnable	extractLook	guildWarehouseStorable	linkCrestId	linkCustomizingId	linkEquipmentId	linkLookInfoId	linkPetAdultId	linkPetOrbId	linkSkillId	masterpieceRate	obtainable	sellPrice	slotLimit	sortingNumber	storeSellable	tradable	unidentifiedItemGrade	useOnlyTerritory	warehouseStorable	accessoryColorId	periodInMinute	periodItemCategoryId	requiredClass	requiredUserStatus	requiredGender	requiredRace	styleCostumeId	linkPassivityId	dropEffect	customizingString	equipmentSetId	itemLevelGageOn	onlyForPCBang	linkSocialId	isReputation	linkSkillPeriodDay	requiredMaxLevel	combatItemArg1	ridingUseable	itemMixId	dropIdentify	linkChangeColorListId	gambleItemGrade	conversionSmallGroup	gambleItemType	linkPassivityCategoryId	combatItemArg3	combatItemArg4	combatItemArg5	awakenable	linkEnchantId	linkMasterpieceEnchantId	linkMasterpiecePassivityCategoryId	linkMasterpiecePassivityId	masterpieceBasicStatRevise	enchantEquipType	isPvpEquipment	optionResetDisable	uniqueEquippedItem	linkRawStoneId	mediate
456	premium_book_vehicle	0	skillbook	1	Icon_Items.SkillBook_Rider1_Tex	0	1	1	NO_COMBAT	SKILLBOOK	1	InterfaceSound.Equip_ItemCUE.Equip_BookCue	InterfaceSound.UseItem.UseItemCue	False	None	200000	False	False	0	True	False	DropItem.SM.Item_Drop_Chest_SM	InterfaceSound.Drop_ItemCUE.Drop_ChestBoxCue	False	False	True	0	0	0	0	0	0	111151	0	True	20000	0	0	False	True	0	False	True																																										
481	premium_book_vehicle	0	skillbook	1	Icon_Items.SkillBook_Rider1_Tex	0	1	1	NO_COMBAT	SKILLBOOK	1	InterfaceSound.Equip_ItemCUE.Equip_BookCue	InterfaceSound.UseItem.UseItemCue	False	None	200000	False	False	0	True	False	DropItem.SM.Item_Drop_Chest_SM	InterfaceSound.Drop_ItemCUE.Drop_ChestBoxCue	False	False	True	0	0	0	0	0	0	111141		True	20000	0	0	False	True		False	True																																										
482	premium_book_vehicle	0	skillbook	1	Icon_Items.SkillBook_Rider1_Tex	0	1	1	NO_COMBAT	SKILLBOOK	1	InterfaceSound.Equip_ItemCUE.Equip_BookCue	InterfaceSound.UseItem.UseItemCue	False	None	200000	False	False	0	True	False	DropItem.SM.Item_Drop_Chest_SM	InterfaceSound.Drop_ItemCUE.Drop_ChestBoxCue	False	False	False	0	0	0	0	0	0	111142		True	20000	0	0	False	False		False	True																																										
60000	premium_face	0	style_face	1	Icon_Equipments.Acc_001A_Tex	0	1	3	NO_COMBAT	EQUIP_STYLE_ACCESSORY	1	InterfaceSound.Equip_ItemCUE.Equip_NormalCue		False	Equip	0	False	False	0	False	False	DropItem.SM.Item_Drop_Chest_SM	InterfaceSound.Drop_ItemCUE.Drop_ChestBoxCue	False	False	False	0	0	60000000	1	0	0	0	0	True	0	0	0	False	False	0	False	True	001A	1440	200033																																							
60001	premium_face	0	style_face	1	Icon_Equipments.Acc_001A_Tex	0	1	3	NO_COMBAT	EQUIP_STYLE_ACCESSORY	1	InterfaceSound.Equip_ItemCUE.Equip_NormalCue		False	Equip	0	False	False	0	False	False	DropItem.SM.Item_Drop_Chest_SM	InterfaceSound.Drop_ItemCUE.Drop_ChestBoxCue	False	False	False	0	0	60000000	1	0	0	0	0	True	0	0	0	False	False	0	False	True	001A	4320	200033																																							
60002	premium_face	0	style_face	1	Icon_Equipments.Acc_001A_Tex	0	1	3	NO_COMBAT	EQUIP_STYLE_ACCESSORY	1	InterfaceSound.Equip_ItemCUE.Equip_NormalCue		False	Equip	0	False	False	0	False	False	DropItem.SM.Item_Drop_Chest_SM	InterfaceSound.Drop_ItemCUE.Drop_ChestBoxCue	False	False	False	0	0	60000000	1	0	0	0	0	True	0	0	0	False	False	0	False	True	001A	10080	200033																																							
60003	premium_face	0	style_face	1	Icon_Equipments.Acc_001A_Tex	0	1	3	NO_COMBAT	EQUIP_STYLE_ACCESSORY	1	InterfaceSound.Equip_ItemCUE.Equip_NormalCue		False	Equip	0	False	False	0	False	False	DropItem.SM.Item_Drop_Chest_SM	InterfaceSound.Drop_ItemCUE.Drop_ChestBoxCue	False	False	False	0	0	60000000	1	0	0	0	0	True	0	0	0	False	False	0	False	True	001A	43200	200033																																							
60004	premium_face	0	style_face	1	Icon_Equipments.Acc_001A_Tex	0	1	3	NO_COMBAT	EQUIP_STYLE_ACCESSORY	1	InterfaceSound.Equip_ItemCUE.Equip_NormalCue		False	Equip	0	False	False	0	True	False	DropItem.SM.Item_Drop_Chest_SM	InterfaceSound.Drop_ItemCUE.Drop_ChestBoxCue	False	False	True	0	0	60000000	1	0	0	0	0	True	0	0	0	False	True	0	False	True	001A	-1	0																																							
60005	premium_face	0	style_face	1	Icon_Equipments.Acc_004A_Tex	0	1	3	NO_COMBAT	EQUIP_STYLE_ACCESSORY	1	InterfaceSound.Equip_ItemCUE.Equip_NormalCue		False	Equip	0	False	False	0	False	False	DropItem.SM.Item_Drop_Chest_SM	InterfaceSound.Drop_ItemCUE.Drop_ChestBoxCue	False	False	False	0	0	60000000	4	0	0	0	0	True	0	0	0	False	False	0	False	True	004A	1440	200034																																							
60006	premium_face	0	style_face	1	Icon_Equipments.Acc_004A_Tex	0	1	3	NO_COMBAT	EQUIP_STYLE_ACCESSORY	1	InterfaceSound.Equip_ItemCUE.Equip_NormalCue		False	Equip	0	False	False	0	False	False	DropItem.SM.Item_Drop_Chest_SM	InterfaceSound.Drop_ItemCUE.Drop_ChestBoxCue	False	False	False	0	0	60000000	4	0	0	0	0	True	0	0	0	False	False	0	False	True	004A	4320	200034																																							
60007	premium_face	0	style_face	1	Icon_Equipments.Acc_004A_Tex	0	1	3	NO_COMBAT	EQUIP_STYLE_ACCESSORY	1	InterfaceSound.Equip_ItemCUE.Equip_NormalCue		False	Equip	0	False	False	0	False	False	DropItem.SM.Item_Drop_Chest_SM	InterfaceSound.Drop_ItemCUE.Drop_ChestBoxCue	False	False	False	0	0	60000000	4	0	0	0	0	True	0	0	0	False	False	0	False	True	004A	10080	200034																																							
60008	premium_face	0	style_face	1	Icon_Equipments.Acc_004A_Tex	0	1	3	NO_COMBAT	EQUIP_STYLE_ACCESSORY	1	InterfaceSound.Equip_ItemCUE.Equip_NormalCue		False	Equip	0	False	False	0	False	False	DropItem.SM.Item_Drop_Chest_SM	InterfaceSound.Drop_ItemCUE.Drop_ChestBoxCue	False	False	False	0	0	60000000	4	0	0	0	0	True	0	0	0	False	False	0	False	True	004A	43200	200034																																							
60009	premium_face	0	style_face	1	Icon_Equipments.Acc_004A_Tex	0	1	3	NO_COMBAT	EQUIP_STYLE_ACCESSORY	1	InterfaceSound.Equip_ItemCUE.Equip_NormalCue		False	Equip	0	False	False	0	True	False	DropItem.SM.Item_Drop_Chest_SM	InterfaceSound.Drop_ItemCUE.Drop_ChestBoxCue	False	False	True	0	0	60000000	4	0	0	0	0	True	0	0	0	False	True	0	False	True	004A	-1	0																																							
60010	premium_face	0	style_face	1	Icon_Equipments.Acc_004B_Tex	0	1	3	NO_COMBAT	EQUIP_STYLE_ACCESSORY	1	InterfaceSound.Equip_ItemCUE.Equip_NormalCue		False	Equip	0	False	False	0	False	False	DropItem.SM.Item_Drop_Chest_SM	InterfaceSound.Drop_ItemCUE.Drop_ChestBoxCue	False	False	False	0	0	60000000	4	0	0	0	0	True	0	0	0	False	False	0	False	True	004B	1440	200035																																							
60011	premium_face	0	style_face	1	Icon_Equipments.Acc_004B_Tex	0	1	3	NO_COMBAT	EQUIP_STYLE_ACCESSORY	1	InterfaceSound.Equip_ItemCUE.Equip_NormalCue		False	Equip	0	False	False	0	False	False	DropItem.SM.Item_Drop_Chest_SM	InterfaceSound.Drop_ItemCUE.Drop_ChestBoxCue	False	False	False	0	0	60000000	4	0	0	0	0	True	0	0	0	False	False	0	False	True	004B	4320	200035																																							
60012	premium_face	0	style_face	1	Icon_Equipments.Acc_004B_Tex	0	1	3	NO_COMBAT	EQUIP_STYLE_ACCESSORY	1	InterfaceSound.Equip_ItemCUE.Equip_NormalCue		False	Equip	0	False	False	0	False	False	DropItem.SM.Item_Drop_Chest_SM	InterfaceSound.Drop_ItemCUE.Drop_ChestBoxCue	False	False	False	0	0	60000000	4	0	0	0	0	True	0	0	0	False	False	0	False	True	004B	10080	200035																																							
60013	premium_face	0	style_face	1	Icon_Equipments.Acc_004B_Tex	0	1	3	NO_COMBAT	EQUIP_STYLE_ACCESSORY	1	InterfaceSound.Equip_ItemCUE.Equip_NormalCue		False	Equip	0	False	False	0	False	False	DropItem.SM.Item_Drop_Chest_SM	InterfaceSound.Drop_ItemCUE.Drop_ChestBoxCue	False	False	False	0	0	60000000	4	0	0	0	0	True	0	0	0	False	False	0	False	True	004B	43200	200035																																							
60014	premium_face	0	style_face	1	Icon_Equipments.Acc_004B_Tex	0	1	3	NO_COMBAT	EQUIP_STYLE_ACCESSORY	1	InterfaceSound.Equip_ItemCUE.Equip_NormalCue		False	Equip	0	False	False	0	True	False	DropItem.SM.Item_Drop_Chest_SM	InterfaceSound.Drop_ItemCUE.Drop_ChestBoxCue	False	False	True	0	0	60000000	4	0	0	0	0	True	0	0	0	False	True	0	False	True	004B	-1	0																																							
60015	premium_face	0	style_face	1	Icon_Equipments.Acc_004C_Tex	0	1	3	NO_COMBAT	EQUIP_STYLE_ACCESSORY	1	InterfaceSound.Equip_ItemCUE.Equip_NormalCue		False	Equip	0	False	False	0	False	False	DropItem.SM.Item_Drop_Chest_SM	InterfaceSound.Drop_ItemCUE.Drop_ChestBoxCue	False	False	False	0	0	60000000	4	0	0	0	0	True	0	0	0	False	False	0	False	True	004C	1440	200036																																							
60016	premium_face	0	style_face	1	Icon_Equipments.Acc_004C_Tex	0	1	3	NO_COMBAT	EQUIP_STYLE_ACCESSORY	1	InterfaceSound.Equip_ItemCUE.Equip_NormalCue		False	Equip	0	False	False	0	False	False	DropItem.SM.Item_Drop_Chest_SM	InterfaceSound.Drop_ItemCUE.Drop_ChestBoxCue	False	False	False	0	0	60000000	4	0	0	0	0	True	0	0	0	False	False	0	False	True	004C	4320	200036																																							
60017	premium_face	0	style_face	1	Icon_Equipments.Acc_004C_Tex	0	1	3	NO_COMBAT	EQUIP_STYLE_ACCESSORY	1	InterfaceSound.Equip_ItemCUE.Equip_NormalCue		False	Equip	0	False	False	0	False	False	DropItem.SM.Item_Drop_Chest_SM	InterfaceSound.Drop_ItemCUE.Drop_ChestBoxCue	False	False	False	0	0	60000000	4	0	0	0	0	True	0	0	0	False	False	0	False	True	004C	10080	200036																																							
60018	premium_face	0	style_face	1	Icon_Equipments.Acc_004C_Tex	0	1	3	NO_COMBAT	EQUIP_STYLE_ACCESSORY	1	InterfaceSound.Equip_ItemCUE.Equip_NormalCue		False	Equip	0	False	False	0	False	False	DropItem.SM.Item_Drop_Chest_SM	InterfaceSound.Drop_ItemCUE.Drop_ChestBoxCue	False	False	False	0	0	60000000	4	0	0	0	0	True	0	0	0	False	False	0	False	True	004C	43200	200036																																							
60019	premium_face	0	style_face	1	Icon_Equipments.Acc_004C_Tex	0	1	3	NO_COMBAT	EQUIP_STYLE_ACCESSORY	1	InterfaceSound.Equip_ItemCUE.Equip_NormalCue		False	Equip	0	False	False	0	True	False	DropItem.SM.Item_Drop_Chest_SM	InterfaceSound.Drop_ItemCUE.Drop_ChestBoxCue	False	False	True	0	0	60000000	4	0	0	0	0	True	0	0	0	False	True	0	False	True	004C	-1	0																																							
60020	premium_face	0	style_face	1	Icon_Equipments.Acc_004D_Tex	0	1	3	NO_COMBAT	EQUIP_STYLE_ACCESSORY	1	InterfaceSound.Equip_ItemCUE.Equip_NormalCue		False	Equip	0	False	False	0	False	False	DropItem.SM.Item_Drop_Chest_SM	InterfaceSound.Drop_ItemCUE.Drop_ChestBoxCue	False	False	False	0	0	60000000	4	0	0	0	0	True	0	0	0	False	False	0	False	True	004D	1440	200037																																							
60021	premium_face	0	style_face	1	Icon_Equipments.Acc_004D_Tex	0	1	3	NO_COMBAT	EQUIP_STYLE_ACCESSORY	1	InterfaceSound.Equip_ItemCUE.Equip_NormalCue		False	Equip	0	False	False	0	False	False	DropItem.SM.Item_Drop_Chest_SM	InterfaceSound.Drop_ItemCUE.Drop_ChestBoxCue	False	False	False	0	0	60000000	4	0	0	0	0	True	0	0	0	False	False	0	False	True	004D	4320	200037																																							
60022	premium_face	0	style_face	1	Icon_Equipments.Acc_004D_Tex	0	1	3	NO_COMBAT	EQUIP_STYLE_ACCESSORY	1	InterfaceSound.Equip_ItemCUE.Equip_NormalCue		False	Equip	0	False	False	0	False	False	DropItem.SM.Item_Drop_Chest_SM	InterfaceSound.Drop_ItemCUE.Drop_ChestBoxCue	False	False	False	0	0	60000000	4	0	0	0	0	True	0	0	0	False	False	0	False	True	004D	10080	200037																																							
60023	premium_face	0	style_face	1	Icon_Equipments.Acc_004D_Tex	0	1	3	NO_COMBAT	EQUIP_STYLE_ACCESSORY	1	InterfaceSound.Equip_ItemCUE.Equip_NormalCue		False	Equip	0	False	False	0	False	False	DropItem.SM.Item_Drop_Chest_SM	InterfaceSound.Drop_ItemCUE.Drop_ChestBoxCue	False	False	False	0	0	60000000	4	0	0	0	0	True	0	0	0	False	False	0	False	True	004D	43200	200037																																							
60024	premium_face	0	style_face	1	Icon_Equipments.Acc_004D_Tex	0	1	3	NO_COMBAT	EQUIP_STYLE_ACCESSORY	1	InterfaceSound.Equip_ItemCUE.Equip_NormalCue		False	Equip	0	False	False	0	True	False	DropItem.SM.Item_Drop_Chest_SM	InterfaceSound.Drop_ItemCUE.Drop_ChestBoxCue	False	False	True	0	0	60000000	4	0	0	0	0	True	0	0	0	False	True	0	False	True	004D	-1	0																																							
60025	premium_face	0	style_face	1	Icon_Equipments.Acc_006A_Tex	0	1	3	NO_COMBAT	EQUIP_STYLE_ACCESSORY	1	InterfaceSound.Equip_ItemCUE.Equip_NormalCue		False	Equip	0	False	False	0	False	False	DropItem.SM.Item_Drop_Chest_SM	InterfaceSound.Drop_ItemCUE.Drop_ChestBoxCue	False	False	False	0	0	60000000	6	0	0	0	0	True	0	0	0	False	False	0	False	True	006A	1440	200038																																							
