class	skillId	cost	effectRate	effectType
lancer	40100	1	0.4	6
lancer	40200	1	0.4	6
lancer	40300	1	0.4	6
lancer	40400	1	0.4	6
lancer	40500	1	0.4	6
lancer	40600	1	0.4	6
lancer	40700	1	0.4	6
lancer	40800	1	0.4	6
lancer	40900	1	0.4	6
lancer	41000	1	0.4	6
lancer	41100	1	0.4	6
lancer	41200	1	0.4	6
lancer	41300	1	0.4	6
lancer	30100	1	0.04	4
lancer	30200	1	0.04	4
lancer	30300	1	0.04	4
lancer	30400	1	0.04	4
lancer	30500	1	0.04	4
lancer	30600	1	0.04	4
lancer	30700	1	0.04	4
lancer	30800	1	0.04	4
lancer	30900	1	0.04	4
lancer	31000	1	0.04	4
lancer	31100	1	0.04	4
lancer	31200	1	0.04	4
lancer	31300	1	0.04	4
lancer	31400	1	0.04	4
lancer	31500	1	0.04	4
lancer	30130	1	0.04	4
lancer	30230	1	0.04	4
lancer	30330	1	0.04	4
lancer	30430	1	0.04	4
lancer	30530	1	0.04	4
lancer	30630	1	0.04	4
lancer	30730	1	0.04	4
lancer	30830	1	0.04	4
lancer	30930	1	0.04	4
lancer	31030	1	0.04	4
lancer	31130	1	0.04	4
lancer	31230	1	0.04	4
lancer	31330	1	0.04	4
lancer	31430	1	0.04	4
lancer	31530	1	0.04	4
lancer	50100	1	0.04	4
lancer	50200	1	0.04	4
lancer	50300	1	0.04	4
lancer	50400	1	0.04	4
lancer	50500	1	0.04	4
lancer	50600	1	0.04	4
lancer	50700	1	0.04	4
lancer	50800	1	0.04	4
lancer	50900	1	0.04	4
lancer	51000	1	0.04	4
lancer	51100	1	0.04	4
lancer	210100	1	0.04	4
lancer	210200	1	0.04	4
lancer	210300	1	0.04	4
lancer	210400	1	0.04	4
lancer	130100	1	0.04	4
lancer	130130	1	0.04	4
lancer	130200	1	0.04	4
lancer	130230	1	0.04	4
lancer	130300	1	0.04	4
lancer	130330	1	0.04	4
lancer	130400	1	0.04	4
lancer	130430	1	0.04	4
lancer	130500	1	0.04	4
lancer	130530	1	0.04	4
lancer	130600	1	0.04	4
lancer	130630	1	0.04	4
lancer	130700	1	0.04	4
lancer	130730	1	0.04	4
lancer	130800	1	0.04	4
lancer	130830	1	0.04	4
lancer	130900	1	0.04	4
lancer	130930	1	0.04	4
lancer	131000	1	0.04	4
lancer	131030	1	0.04	4
lancer	131100	1	0.04	4
lancer	131130	1	0.04	4
lancer	180100	1	0.04	4
lancer	180101	0	0.04	4
lancer	180200	1	0.04	4
lancer	180201	0	0.04	4
lancer	180300	1	0.04	4
lancer	180301	0	0.04	4
lancer	180400	1	0.04	4
lancer	180401	0	0.04	4
lancer	180500	1	0.04	4
lancer	180501	0	0.04	4
lancer	180600	1	0.04	4
lancer	180601	0	0.04	4
lancer	180700	1	0.04	4
lancer	180701	0	0.04	4
lancer	180800	1	0.04	4
lancer	180801	0	0.04	4
lancer	180900	1	0.04	4
lancer	180901	0	0.04	4
lancer	181000	1	0.04	4
lancer	181001	0	0.04	4
lancer	181100	1	0.04	4
lancer	181101	0	0.04	4
lancer	250100	1	0.04	4
lancer	250130	1	0.04	4
lancer	250200	1	0.04	4
lancer	250230	1	0.04	4
lancer	250300	1	0.04	4
lancer	250330	1	0.04	4
lancer	250400	1	0.04	4
lancer	250430	1	0.04	4
lancer	250500	1	0.04	4
lancer	250530	1	0.04	4
lancer	250600	1	0.04	4
lancer	250630	1	0.04	4
lancer	250700	1	0.04	4
lancer	250730	1	0.04	4
lancer	250800	1	0.04	4
lancer	250830	1	0.04	4
warrior	40100	1	0.04	4
warrior	40200	1	0.04	4
warrior	40300	1	0.04	4
warrior	40400	1	0.04	4
warrior	40500	1	0.04	4
warrior	40600	1	0.04	4
warrior	40700	1	0.04	4
warrior	40800	1	0.04	4
warrior	40900	1	0.04	4
warrior	41000	1	0.04	4
warrior	41100	1	0.04	4
warrior	41200	1	0.04	4
warrior	41300	1	0.04	4
warrior	41400	1	0.04	4
warrior	41500	1	0.04	4
warrior	40130	1	0.04	4
warrior	40230	1	0.04	4
warrior	40330	1	0.04	4
warrior	40430	1	0.04	4
warrior	40530	1	0.04	4
warrior	40630	1	0.04	4
warrior	40730	1	0.04	4
warrior	40830	1	0.04	4
warrior	40930	1	0.04	4
warrior	41030	1	0.04	4
warrior	41130	1	0.04	4
warrior	41230	1	0.04	4
warrior	41330	1	0.04	4
warrior	41430	1	0.04	4
warrior	41530	1	0.04	4
warrior	210100	1	0.04	4
warrior	210200	1	0.04	4
warrior	290100	1	0.04	4
warrior	290130	1	0.04	4
warrior	290200	1	0.04	4
warrior	290230	1	0.04	4
warrior	290300	1	0.04	4
warrior	290330	1	0.04	4
warrior	290400	1	0.04	4
warrior	29040	1	0.04	4
warrior	290500	1	0.04	4
warrior	290530	1	0.04	4
warrior	290600	1	0.04	4
warrior	290630	1	0.04	4
warrior	290700	1	0.04	4
warrior	290730	1	0.04	4
warrior	300100	1	0.04	4
warrior	300130	1	0.04	4
warrior	300200	1	0.04	4
warrior	300230	1	0.04	4
warrior	270100	1	0.04	4
warrior	270200	1	0.04	4
warrior	270300	1	0.04	4
warrior	270400	1	0.04	4
warrior	270500	1	0.04	4
warrior	270600	1	0.04	4
warrior	270700	1	0.04	4
warrior	270800	1	0.04	4
warrior	190100	1	0.04	4
warrior	190101	0	0.04	4
warrior	190200	1	0.04	4
warrior	190201	0	0.04	4
warrior	190300	1	0.04	4
warrior	190301	0	0.04	4
warrior	190400	1	0.04	4
warrior	190401	0	0.04	4
warrior	190500	1	0.04	4
warrior	190501	0	0.04	4
warrior	190600	1	0.04	4
warrior	190601	0	0.04	4
warrior	190700	1	0.04	4
warrior	190701	0	0.04	4
warrior	190800	1	0.04	4
warrior	190801	0	0.04	4
warrior	190900	1	0.04	4
warrior	190901	0	0.04	4
warrior	191000	1	0.04	4
warrior	191001	0	0.04	4
warrior	170100	1	0.04	4
warrior	170200	1	0.04	4
warrior	170300	1	0.04	4
warrior	170400	1	0.04	4
warrior	170500	1	0.04	4
warrior	170600	1	0.04	4
warrior	170700	1	0.04	4
warrior	170800	1	0.04	4
warrior	170900	1	0.04	4
warrior	171000	1	0.04	4
warrior	171100	1	0.04	4
warrior	160100	1	0.04	4
warrior	160101	0	0.04	4
warrior	160200	1	0.04	4
warrior	160201	0	0.04	4
warrior	160300	1	0.04	4
warrior	160301	0	0.04	4
warrior	160400	1	0.04	4
warrior	160401	0	0.04	4
warrior	160500	1	0.04	4
warrior	160501	0	0.04	4
warrior	160600	1	0.04	4
warrior	160601	0	0.04	4
warrior	160700	1	0.04	4
warrior	160701	0	0.04	4
warrior	110100	1	1.0	16
warrior	110200	1	1.0	16
warrior	110300	1	1.0	16
warrior	110400	1	1.0	16
warrior	110500	1	1.0	16
warrior	110600	1	1.0	16
warrior	110700	1	1.0	16
warrior	110800	1	1.0	16
warrior	100100	1	0.04	4
warrior	100200	1	0.04	4
warrior	100300	1	0.04	4
warrior	100400	1	0.04	4
warrior	100500	1	0.04	4
warrior	100600	1	0.04	4
warrior	100700	1	0.04	4
warrior	100800	1	0.04	4
warrior	100900	1	0.04	4
warrior	30100	1	0.4	6
warrior	30200	1	0.4	6
warrior	30300	1	0.4	6
warrior	30400	1	0.4	6
warrior	30500	1	0.4	6
warrior	30600	1	0.4	6
warrior	30700	1	0.4	6
warrior	30800	1	0.4	6
warrior	30900	1	0.4	6
warrior	31000	1	0.4	6
slayer	20100	1	0.04	4
slayer	20200	1	0.04	4
slayer	20300	1	0.04	4
slayer	20400	1	0.04	4
slayer	20500	1	0.04	4
slayer	20600	1	0.04	4
slayer	20700	1	0.04	4
slayer	20800	1	0.04	4
slayer	20900	1	0.04	4
slayer	21000	1	0.04	4
slayer	21100	1	0.04	4
slayer	21200	1	0.04	4
slayer	21300	1	0.04	4
slayer	21400	1	0.04	4
slayer	30100	1	0.04	4
slayer	30200	1	0.04	4
slayer	30300	1	0.04	4
slayer	30400	1	0.04	4
slayer	30500	1	0.04	4
slayer	30600	1	0.04	4
slayer	30700	1	0.04	4
slayer	30800	1	0.04	4
slayer	30900	1	0.04	4
slayer	31000	1	0.04	4
slayer	31100	1	0.04	4
slayer	31200	1	0.04	4
slayer	31300	1	0.04	4
slayer	31400	1	0.04	4
slayer	31500	1	0.04	4
slayer	80100	1	0.04	4
slayer	80130	1	0.04	4
slayer	80200	1	0.04	4
slayer	80230	1	0.04	4
slayer	80300	1	0.04	4
slayer	80330	1	0.04	4
slayer	80400	1	0.04	4
slayer	80430	1	0.04	4
slayer	80500	1	0.04	4
slayer	80530	1	0.04	4
slayer	80600	1	0.04	4
slayer	80630	1	0.04	4
slayer	80700	1	0.04	4
slayer	80730	1	0.04	4
slayer	80800	1	0.04	4
slayer	80830	1	0.04	4
slayer	80900	1	0.04	4
slayer	80930	1	0.04	4
slayer	250100	1	0.04	4
slayer	250130	1	0.04	4
slayer	120100	1	0.04	4
slayer	120200	1	0.04	4
slayer	120300	1	0.04	4
slayer	120400	1	0.04	4
slayer	120500	1	0.04	4
slayer	230100	1	0.04	4
slayer	230130	1	0.04	4
slayer	230200	1	0.04	4
slayer	230230	1	0.04	4
slayer	130100	1	0.04	4
slayer	130200	1	0.04	4
slayer	130300	1	0.04	4
slayer	130400	1	0.04	4
slayer	130500	1	0.04	4
slayer	130600	1	0.04	4
slayer	130700	1	0.04	4
slayer	140100	1	0.04	4
slayer	140101	1	0.04	4
slayer	140102	1	0.04	4
slayer	140200	1	0.04	4
slayer	140201	1	0.04	4
slayer	140202	1	0.04	4
slayer	140300	1	0.04	4
slayer	140301	1	0.04	4
slayer	140302	1	0.04	4
slayer	140400	1	0.04	4
slayer	140401	1	0.04	4
slayer	140402	1	0.04	4
slayer	140500	1	0.04	4
slayer	140501	1	0.04	4
slayer	140502	1	0.04	4
slayer	140600	1	0.04	4
slayer	140601	1	0.04	4
slayer	140602	1	0.04	4
slayer	140700	1	0.04	4
slayer	140701	1	0.04	4
slayer	140702	1	0.04	4
slayer	140800	1	0.04	4
slayer	140801	1	0.04	4
slayer	140802	1	0.04	4
slayer	240100	1	0.04	4
slayer	240130	1	0.04	4
berserker	30100	1	0.04	13
berserker	30200	1	0.04	13
berserker	30300	1	0.04	13
berserker	30400	1	0.04	13
berserker	30500	1	0.04	13
berserker	30600	1	0.04	13
berserker	30700	1	0.04	13
berserker	30800	1	0.04	13
berserker	30900	1	0.04	13
berserker	31000	1	0.04	13
berserker	31100	1	0.04	13
berserker	31200	1	0.04	13
berserker	31300	1	0.04	13
berserker	31400	1	0.04	13
berserker	30100	0	0.04	4
berserker	30110	1	0.04	4
berserker	30111	1	0.04	4
berserker	30112	1	0.04	4
berserker	30113	1	0.04	4
berserker	30200	0	0.04	4
berserker	30210	1	0.04	4
berserker	30211	1	0.04	4
berserker	30212	1	0.04	4
berserker	30213	1	0.04	4
berserker	30300	0	0.04	4
berserker	30310	1	0.04	4
berserker	30311	1	0.04	4
berserker	30312	1	0.04	4
berserker	30313	1	0.04	4
berserker	30400	0	0.04	4
berserker	30410	1	0.04	4
berserker	30411	1	0.04	4
berserker	30412	1	0.04	4
berserker	30413	1	0.04	4
berserker	30500	0	0.04	4
berserker	30510	1	0.04	4
berserker	30511	1	0.04	4
berserker	30512	1	0.04	4
berserker	30513	1	0.04	4
berserker	30600	0	0.04	4
berserker	30610	1	0.04	4
berserker	30611	1	0.04	4
berserker	30612	1	0.04	4
berserker	30613	1	0.04	4
berserker	30700	0	0.04	4
berserker	30710	1	0.04	4
berserker	30711	1	0.04	4
berserker	30712	1	0.04	4
berserker	30713	1	0.04	4
berserker	30800	0	0.04	4
berserker	30810	1	0.04	4
berserker	30811	1	0.04	4
berserker	30812	1	0.04	4
berserker	30813	1	0.04	4
berserker	30900	0	0.04	4
berserker	30910	1	0.04	4
berserker	30911	1	0.04	4
berserker	30912	1	0.04	4
berserker	30913	1	0.04	4
berserker	31000	0	0.04	4
berserker	31010	1	0.04	4
berserker	31011	1	0.04	4
berserker	31012	1	0.04	4
berserker	31013	1	0.04	4
berserker	31100	0	0.04	4
berserker	31110	1	0.04	4
berserker	31111	1	0.04	4
berserker	31112	1	0.04	4
berserker	31113	1	0.04	4
berserker	31200	0	0.04	4
berserker	31210	1	0.04	4
berserker	31211	1	0.04	4
berserker	31212	1	0.04	4
berserker	31213	1	0.04	4
berserker	31300	0	0.04	4
berserker	31310	1	0.04	4
berserker	31311	1	0.04	4
berserker	31312	1	0.04	4
berserker	31313	1	0.04	4
berserker	31400	0	0.04	4
berserker	31410	1	0.04	4
berserker	31411	1	0.04	4
berserker	31412	1	0.04	4
berserker	31413	1	0.04	4
berserker	40100	1	0.04	4
berserker	40200	1	0.04	4
berserker	40300	1	0.04	4
berserker	40400	1	0.04	4
berserker	40500	1	0.04	4
berserker	40600	1	0.04	4
berserker	40700	1	0.04	4
berserker	40800	1	0.04	4
berserker	40900	1	0.04	4
berserker	41000	1	0.04	4
berserker	41100	1	0.04	4
berserker	41200	1	0.04	4
berserker	41300	1	0.04	4
berserker	41400	1	0.04	4
berserker	41500	1	0.04	4
berserker	40130	1	0.04	4
berserker	40230	1	0.04	4
berserker	40330	1	0.04	4
berserker	40430	1	0.04	4
berserker	40530	1	0.04	4
berserker	40630	1	0.04	4
berserker	40730	1	0.04	4
berserker	40830	1	0.04	4
berserker	40930	1	0.04	4
berserker	41030	1	0.04	4
berserker	41130	1	0.04	4
berserker	41230	1	0.04	4
berserker	41330	1	0.04	4
berserker	41430	1	0.04	4
berserker	41530	1	0.04	4
berserker	100100	0	0.04	4
berserker	100110	1	0.04	4
berserker	100111	1	0.04	4
berserker	100112	1	0.04	4
berserker	100113	1	0.04	4
berserker	100200	0	0.04	4
berserker	100210	1	0.04	4
berserker	100211	1	0.04	4
berserker	100212	1	0.04	4
berserker	100213	1	0.04	4
berserker	100300	0	0.04	4
berserker	100310	1	0.04	4
berserker	100311	1	0.04	4
berserker	100312	1	0.04	4
berserker	100313	1	0.04	4
berserker	100400	0	0.04	4
berserker	100410	1	0.04	4
berserker	100411	1	0.04	4
berserker	100412	1	0.04	4
berserker	100413	1	0.04	4
berserker	100500	0	0.04	4
berserker	100510	1	0.04	4
berserker	100511	1	0.04	4
berserker	100512	1	0.04	4
berserker	100513	1	0.04	4
berserker	100600	0	0.04	4
berserker	100610	1	0.04	4
berserker	100611	1	0.04	4
berserker	100612	1	0.04	4
berserker	100613	1	0.04	4
berserker	100700	0	0.04	4
berserker	100710	1	0.04	4
berserker	100711	1	0.04	4
berserker	100712	1	0.04	4
berserker	100713	1	0.04	4
berserker	100800	0	0.04	4
berserker	100810	1	0.04	4
berserker	100811	1	0.04	4
berserker	100812	1	0.04	4
berserker	100813	1	0.04	4
berserker	100900	0	0.04	4
berserker	100910	1	0.04	4
berserker	100911	1	0.04	4
berserker	100912	1	0.04	4
