name	type	Description	id	prob	value	balancedByTargetCount	judgmentOnce	kind	mobSize	method	tickInterval	condition	abnormalityCategory	abnormalityKind	conditionCategory	conditionValue	mySkillCategory	isHidePassive	passivityChangeId	passivityChangeTime	prevPassivityId
#N/A	209	#N/A	21000	0,3	21010	FALSE	FALSE	0	all	4	0	0	0	0	1002	0					
#N/A	71	#N/A	21001	1	0,8	FALSE	FALSE	0	all	3	0	0	0	0	1013	0					
#N/A	71	#N/A	21002	1	0,7	FALSE	FALSE	0	all	3	0	0	0	0	1010	0					
#N/A	3	#N/A	21003	1	1	FALSE	FALSE	0	all	3	0	0	0	0	0	0					
#N/A	164	#N/A	21004	1	1,05	FALSE	FALSE	0	all	3	0	25	0	0	1001	0					
#N/A	164	#N/A	21005	1	1,2	FALSE	FALSE	0	all	3	0	25	0	0	1003	0					
#N/A	161	#N/A	21006	1	1,25	FALSE	FALSE	0	all	3	0	25	0	0	1004	0					
#N/A	161	#N/A	21007	1	1,25	FALSE	FALSE	0	all	3	0	25	0	0	1012	0					
#N/A	162	#N/A	21008	1	1,15	FALSE	FALSE	0	all	3	0	25	0	22403	1011	0					
#N/A	162	#N/A	21009	1	1,1	FALSE	FALSE	0	all	3	0	25	0	9	1009	0					
#N/A	161	#N/A	21010	1	1,25	FALSE	FALSE	0	all	3	0	25	0	0	1013	0					
#N/A	209	#N/A	21011	1	21020	FALSE	FALSE	0	all	4	0	0	0	0	1003	0					
#N/A	209	#N/A	21012	1	21030	FALSE	FALSE	0	all	4	0	0	0	0	1013	0					
#N/A	213	#N/A	21013	1	1,35	FALSE	FALSE	0	all	3	0	0	0	0	1001	0					
#N/A	209	#N/A	21014	0,5	21070	FALSE	FALSE	0	all	4	0	0	0	0	1010	0					
#N/A	82	#N/A	21015	1	-100	FALSE	FALSE	0	all	2	0	0	0	0	1002	0					
#N/A	71	#N/A	21016	1	0,8	FALSE	FALSE	0	all	3	0	0	0	0	1005	0					
#N/A	158	#N/A	21017	1	1,005	TRUE	FALSE	0	all	3	0	25	0	0	1004	0					
#N/A	73	#N/A	21018	1	0,5	FALSE	FALSE	0	all	3	0	0	0	0	1018	0					
#N/A	161	#N/A	21019	1	1,25	FALSE	FALSE	0	all	3	0	25	0	0	1017	0					
#N/A	71	#N/A	21020	1	0,75	FALSE	FALSE	0	all	3	0	0	0	0	1016	0					
#N/A	3	#N/A	21021	1	1	FALSE	FALSE	0	all	3	0	0	0	0	0	0					
#N/A	212	#N/A	21022	0,25	0	FALSE	FALSE	0	all	0	0	0	0	0	1019	0					
#N/A	71	#N/A	21023	1	0,8	FALSE	FALSE	0	all	3	0	0	0	0	1024	0					
#N/A	163	#N/A	21024	1	1,5	FALSE	FALSE	0	all	3	0	25	0	22406	1022	0					
#N/A	71	#N/A	21025	1	0,75	FALSE	FALSE	0	all	3	0	0	0	0	1020	0					
#N/A	161	#N/A	21026	1	1,25	FALSE	FALSE	0	all	3	0	25	0	0	1023	0					
