name	name2	animDuration	moveDir	moveDistance1	moveDistance2	moveDistance3	moveDistance4	moveDistance5	moveDistance6	moveDistance7	rootMotion	rootRotate	rotateYaw
Human_M_ANI.Anim.Human_M_Class01_Anim	BehindCatchStart	333	0	4,285715	8,571429	12,8571444	17,14286	21,4285717	25,7142868	30	True	False	0
Human_M_ANI.Anim.Human_M_Class01_Anim	bReactionCom2	2083	0	0	0	0	0	0	0	0	False	False	0
Human_M_ANI.Anim.Human_M_Class01_Anim	bReactionCom3	1933	0	0	0	0	0	0	0	0	False	False	0
Human_M_ANI.Anim.Human_M_Class01_Anim	bReactionDown2	1416	0	0	0	0	0	0	0	0	False	False	0
Human_M_ANI.Anim.Human_M_Class01_Anim	bReactionDown3	1366	0	0	0	0	0	0	0	0	False	False	0
Human_M_ANI.Anim.Human_M_Class01_Anim	bReactionLand3	1533	32768	25	50	70	70	70	70	70	True	False	0
Human_M_ANI.Anim.Human_M_Class01_Anim	bReactionRolling3	333	32768	10,000001	20	30,0000019	40,0000038	50	60	70	True	False	0
Human_M_ANI.Anim.Human_M_Class01_Anim	bReactionStart2	1450	32768	57,75	97,5078	97,53936	98,1458	100	100	100	True	False	0
Human_M_ANI.Anim.Human_M_Class01_Anim	bReactionStart3	1633	32768	45,36541	89,54022	133,375458	177,687775	223,286255	271,788147	340	True	False	0
Human_M_ANI.Anim.Human_M_Class01_Anim	combo1	733	0	8,481004	16,9620075	26,994751	33,4653664	38,15491	42,8444557	47,534	True	False	0
Human_M_ANI.Anim.Human_M_Class01_Anim	combo1R	533	0	0	0	0	0	0	0	0	False	False	0
Human_M_ANI.Anim.Human_M_Class01_Anim	combo2	833	0	6,016718	12,0334358	18,0501537	24,0668716	30,0835857	36,1003075	42,1170235	True	False	0
Human_M_ANI.Anim.Human_M_Class01_Anim	combo2R	700	0	0	0	0	0	0	0	0	False	False	0
Human_M_ANI.Anim.Human_M_Class01_Anim	combo3	833	0	6,016718	12,0334358	18,0501537	24,0668716	28,0780144	28,0780144	28,0780144	True	False	0
Human_M_ANI.Anim.Human_M_Class01_Anim	combo3R	400	0	0	0	0	0	0	0	0	False	False	0
Human_M_ANI.Anim.Human_M_Class01_Anim	combo4	1333	0	16,0862083	32,1724167	48,25863	64,34483	75,06897	75,06897	75,06897	True	False	0
Human_M_ANI.Anim.Human_M_Class01_Anim	DashSlashLoop	466	0	0	0	0	0	0	0	0	False	False	0
Human_M_ANI.Anim.Human_M_Class01_Anim	DashSlashShot	1033	0	27,8941	63,0567665	91,696846	100	100	100	100	True	False	0
Human_M_ANI.Anim.Human_M_Class01_Anim	DeafeningRoarLoop	1033	0	0	0	0	0	0	0	0	False	False	0
Human_M_ANI.Anim.Human_M_Class01_Anim	DeafeningRoarShot	1033	0	0	0	0	0	0	0	0	False	False	0
Human_M_ANI.Anim.Human_M_Class01_Anim	DeafeningRoarStart	733	0	0	0	0	0	0	0	0	False	False	0
Human_M_ANI.Anim.Human_M_Class01_Anim	Death	6200	32768	91,28562	91,28562	91,28562	91,28562	91,28562	91,28562	91,28562	True	False	0
Human_M_ANI.Anim.Human_M_Class01_Anim	deathwait	50	0	0	0	0	0	0	0	0	False	False	0
Human_M_ANI.Anim.Human_M_Class01_Anim	defenceCancel	1033	0	0	0	0	0	0	0	0	False	False	0
Human_M_ANI.Anim.Human_M_Class01_Anim	defenceHit	1033	0	0	0	0	0	0	0	0	False	False	0
Human_M_ANI.Anim.Human_M_Class01_Anim	defenceLoop	1500	0	0	0	0	0	0	0	0	False	False	0
Human_M_ANI.Anim.Human_M_Class01_Anim	defenceStart	533	0	0	0	0	0	0	0	0	False	False	0
Human_M_ANI.Anim.Human_M_Class01_Anim	DownBlow	1633	0	7,286841	33,061924	50	50	50	50	50	True	False	0
Human_M_ANI.Anim.Human_M_Class01_Anim	EvasionAttack	2166	0	0	0	0	0	0	0	0	False	False	0
Human_M_ANI.Anim.Human_M_Class01_Anim	Groggy1	2083	0	0	0	0	0	0	0	0	False	False	0
Human_M_ANI.Anim.Human_M_Class01_Anim	GuardReaction1	562	0	0	0	0	0	0	0	0	False	False	0
Human_M_ANI.Anim.Human_M_Class01_Anim	GunsungCombo1	833	0	28,7739449	50,74063	74,9021759	105,573853	126,492378	139,251	148,1982	True	False	0
Human_M_ANI.Anim.Human_M_Class01_Anim	GunsungCombo1R	900	0	0	0	0	0	0	0	0	False	False	0
Human_M_ANI.Anim.Human_M_Class01_Anim	GunsungCombo2	1733	0	28,8758678	66,88017	80,43664	91,594574	92,66016	92,66016	92,66016	True	False	0
Human_M_ANI.Anim.Human_M_Class01_Anim	HeavyBite	2933	0	54,03324	108,55851	136,624573	149,8152	150	150	150	True	False	0
Human_M_ANI.Anim.Human_M_Class01_Anim	inspiringRoar	733	0	0	0	0	0	0	0	0	False	False	0
Human_M_ANI.Anim.Human_M_Class01_Anim	inweapon	1366	0	0	0	0	0	0	0	0	False	False	0
Human_M_ANI.Anim.Human_M_Class01_Anim	nanmu1	1833	0	23,1428585	46,2857132	69,7817459	75	75	75	75	True	False	0
Human_M_ANI.Anim.Human_M_Class01_Anim	nanmu2	533	0	1,444596	3,130969	5,33414	7,779311	10,4711456	13,54955	16,6351681	True	False	0
