class	id	Name	tooltip
Archer	10100	Arrow I	Shoot an arrow at a target up to $maxDistance away. Each successful hit generates 1 stack of Focus. (Stack Focus 10 times to reduce the charging speed of Penetrating Arrow and Radiant Arrow.)
Archer	10200	Arrow II	Shoot an arrow at a target up to $maxDistance away. Each successful hit generates 1 stack of Focus. (Stack Focus 10 times to reduce the charging speed of Penetrating Arrow and Radiant Arrow.)
Archer	10300	Arrow III	Shoot an arrow at a target up to $maxDistance away. Each successful hit generates 1 stack of Focus. (Stack Focus 10 times to reduce the charging speed of Penetrating Arrow and Radiant Arrow.)
Archer	10400	Arrow IV	Shoot an arrow at a target up to $maxDistance away. Each successful hit generates 1 stack of Focus. (Stack Focus 10 times to reduce the charging speed of Penetrating Arrow and Radiant Arrow.)
Archer	10500	Arrow V	Shoot an arrow at a target up to $maxDistance away. Each successful hit generates 1 stack of Focus. (Stack Focus 10 times to reduce the charging speed of Penetrating Arrow and Radiant Arrow.)
Archer	10600	Arrow VI	Shoot an arrow at a target up to $maxDistance away. Each successful hit generates 1 stack of Focus. (Stack Focus 10 times to reduce the charging speed of Penetrating Arrow and Radiant Arrow.)
Archer	10700	Arrow VII	Shoot an arrow at a target up to $maxDistance away. Each successful hit generates 1 stack of Focus. (Stack Focus 10 times to reduce the charging speed of Penetrating Arrow and Radiant Arrow.)
Archer	10800	Arrow VIII	Shoot an arrow at a target up to $maxDistance away. Each successful hit generates 1 stack of Focus. (Stack Focus 10 times to reduce the charging speed of Penetrating Arrow and Radiant Arrow.)
Archer	10900	Arrow IX	Shoot an arrow at a target up to $maxDistance away. Each successful hit generates 1 stack of Focus. (Stack Focus 10 times to reduce the charging speed of Penetrating Arrow and Radiant Arrow.)
Archer	11000	Arrow X	Shoot an arrow at a target up to $maxDistance away. Each successful hit generates 1 stack of Focus. (Stack Focus 10 times to reduce the charging speed of Penetrating Arrow and Radiant Arrow.)
