id	name	string	tooltip	arg1	arg2	arg3	arg4	uiString1	uiString2	uiString3	uiString4
101010	Mighty Phoenix	Damage from enemies decrease by 50% for certain period of time upon resurrecting	Received damage decreases by 50% fof {value1} seconds after resurrection	Duration				{value1}seconds			
101020	Agile Phoenix	Movement Speed increases for certain period of time upon resurrecting	Movement Speed increases by {value1} for {value2} seconds after resurrection. Ends in combat mode	Movement Speed Increases	Lasting Period			{value1}	{value2}seconds		
102010	Empowered Speed	Increases Movement Speed of any mount by 20. Effect will not be activated within 5 minutes.	Movement Speed increases by 20 for {value1} when traveling on mounts. Effect cooldown is 5minutes	Duration				{value1}seconds			
111000	Mighty Attack	Increases Power	Power increases by {value1}	Power Increases				{value1}			
112000	Mighty Defense	Increases Endurance	Endurance increases by {value1}	Endurance Increases				{value1}			
112010	Lethal Lesson	Crit Resist Factor increases for 5 seconds when hit by critical attack. Crit Resist Factor increases on each critical attack from enemies	Increases Crit Resist for 5 seconds by {value3}% chance when critically attacked. Crit Resist increases by {value2} when critically attacked for the first time, and increases by {value4} with each attacks from enemy. Can increase {value1} in total maximum	Resist Max Increase	Initial Resist Increase	Probability of Activation	Immunity Burst when Hit	{value1}	{value2}	{value3}%	{value4}
810210	Combat Speed Up	Combat Movement Speed increases for 3 seconds upon casting skill	Combat Movement increase by {value1} for 3 seconds	Movement Speed Increases				{value1}			
810220	Ready Pummel	Crit Factor for your first attack increases for 5 seconds upon casting spell	Crit Factor for first attack increases by {value2} for {value1}% chance	Probability of Activation	Crit Factor Increases			{value1}%	{value2}		
810230	Concentration	RE consumption decreases upon casting skill<BR>Recovers additional RE when RE is below 20%	RE consumption decreases by {value1}. Recovers additional RE when RE is below 20%	Reduced RE Consumption				{value1}			
810300	Strengthen	EP Attack Power increases	EP Attack Power increases by {value1}	EP Attack Power				{value1}			
810310	Vigorous Charge	Replenishes MP when successfully hitting target. Replenishes RE when target has aggro on you	Restores RE by {value2} when successfully hitting target with aggro on you, and restores MP by {value1} when successfully hitting target without aggro on you	MP Recovery	RE Recovery			{value1}	{value2}		
810400	Strengthen	EP Attack Power increases	EP Attack Power increases by {value1}	EP Attack Power				{value1}			
811000	Strengthen	EP Attack Power increases	EP Attack Power increases by {value1}	EP Attack Power				{value1}			
811110	Amplification	Damage from poison increases by {value1}%	Damage from poison increases by {value1}%	Incoming Damage Increase Rate				{value1}%			
811210	Trample	EP Attack Power increases when hitting knocked-down target<br>EP Attack Power triples when hitting knocked-down target with critical hit	EP Attack Power increases by {value1} when successfully hitting knocked-down target. EP Attack Power triples when successfully hitting target with critical hit	EP Attack Power				{value1}			
811310	Turning Tables	Resets Cooldown when knocked-down.	Resets cooldown by  {value1}% chance when knocked-down	Reset Rate				{value1}%			
811600	Strengthen	EP Attack Power increases	EP Attack Power increases by {value1}	EP Attack Power				{value1}			
811610	Reload	Resets Skill Cooldown when successfully hitting target with your next skill within 2 seconds when successfully hitting target	Resets Skill Cooldown by {value1}% chance when successfully hitting target with your next skill within 2 seconds	Reset Rate				{value1}%			
811700	Strengthen	EP Attack Power increases	EP Attack Power increases by {value1}	EP Attack Power				{value1}			
811800	Strengthen	EP Attack Power increases	EP Attack Power increases by {value1}	EP Attack Power				{value1}			
